అంక	amka	0.25
అంక	anka	0.75
అంకం	amkam	0.333
అంకం	ankam	0.667
అంగీకరించ	amgiikarimcha	0.333
అంగీకరించ	angeekarincha	0.667
అంగీకరించడం	angeekarinchadam	0.25
అంగీకరించడం	angikarinchadam	0.75
అంగీకరించడానికి	angeekarinchadaniki	0.667
అంగీకరించడానికి	angikarinchadaniki	0.333
అంగీకరించని	angeekarinchani	0.667
అంగీకరించని	angikarinchani	0.333
అంగీకరించారు	angeekarinchaaru	0.25
అంగీకరించారు	angeekarincharu	0.25
అంగీకరించారు	angikarinchaaru	0.5
అంగీకరించింది	angeekarinchidi	0.333
అంగీకరించింది	angeekarinchindhi	0.333
అంగీకరించింది	angikarinchindi	0.333
అంటరాని	antaraani	1.0
అంతం	anatham	0.333
అంతం	antam	0.333
అంతం	antham	0.333
అంతము	antamu	0.4
అంతము	anthamu	0.6
